Sno,FileName,SourceFile,DateTimeOriginal
49,C1012_C_189B2_IMG_0056.JPG,D:/R_projects/multiseason_occupancy/leopard/C1012_C_189B2_IMG_0056.JPG,2017:01:09 05:03:09
50,C1012_C_189B2_IMG_0057.JPG,D:/R_projects/multiseason_occupancy/leopard/C1012_C_189B2_IMG_0057.JPG,2017:01:09 05:03:10
51,C1012_C_189B2_IMG_0085.JPG,D:/R_projects/multiseason_occupancy/leopard/C1012_C_189B2_IMG_0085.JPG,2017:01:11 01:06:34
52,C1013_2018-01-19_07-32-05-CAM66032.jpg,D:/R_projects/multiseason_occupancy/leopard/C1013_2018-01-19_07-32-05-CAM66032.jpg,2018:01:19 07:32:05
53,C1015_2017-01-03_17-00-45-CAM60495.jpg,D:/R_projects/multiseason_occupancy/leopard/C1015_2017-01-03_17-00-45-CAM60495.jpg,2017:01:03 17:00:45
54,C1015_2018-01-13 17-18-34_1655A_I_00003d.JPG,D:/R_projects/multiseason_occupancy/leopard/C1015_2018-01-13 17-18-34_1655A_I_00003d.JPG,2018:01:13 17:18:35
55,C1015_2018-01-13 17-19-22_1655A_I_00042c.JPG,D:/R_projects/multiseason_occupancy/leopard/C1015_2018-01-13 17-19-22_1655A_I_00042c.JPG,2018:01:13 17:19:23
56,C1015_2018-01-15 15-46-40_1655A-I_00003a.JPG,D:/R_projects/multiseason_occupancy/leopard/C1015_2018-01-15 15-46-40_1655A-I_00003a.JPG,2018:01:15 15:46:41
57,C1015_2018-01-15 15-46-40_1655A-I_00003b.JPG,D:/R_projects/multiseason_occupancy/leopard/C1015_2018-01-15 15-46-40_1655A-I_00003b.JPG,2018:01:15 15:46:41
58,C1015_2018-01-15 15-46-40_1655A-I_00003d.JPG,D:/R_projects/multiseason_occupancy/leopard/C1015_2018-01-15 15-46-40_1655A-I_00003d.JPG,2018:01:15 15:46:41
59,C1015_2018-01-15 15-46-40_1655A-I_00003e.JPG,D:/R_projects/multiseason_occupancy/leopard/C1015_2018-01-15 15-46-40_1655A-I_00003e.JPG,2018:01:15 15:46:41
60,C1016_2017-01-09_11-41-30-CAM60416.jpg,D:/R_projects/multiseason_occupancy/leopard/C1016_2017-01-09_11-41-30-CAM60416.jpg,2017:01:09 11:41:30
61,C1016_2017-01-09_11-41-35-CAM60416.jpg,D:/R_projects/multiseason_occupancy/leopard/C1016_2017-01-09_11-41-35-CAM60416.jpg,2017:01:09 11:41:35
62,C1016_2017-01-09_11-41-41-CAM60416.jpg,D:/R_projects/multiseason_occupancy/leopard/C1016_2017-01-09_11-41-41-CAM60416.jpg,2017:01:09 11:41:41
63,C1017_2018-01-11_10-02-47-CAM66063.jpg,D:/R_projects/multiseason_occupancy/leopard/C1017_2018-01-11_10-02-47-CAM66063.jpg,2018:01:11 10:02:47
64,C1017_2018-01-19_07-30-58-CAM66063.jpg,D:/R_projects/multiseason_occupancy/leopard/C1017_2018-01-19_07-30-58-CAM66063.jpg,2018:01:19 07:30:58
65,C1017_2018-01-19_07-31-40-CAM66063.jpg,D:/R_projects/multiseason_occupancy/leopard/C1017_2018-01-19_07-31-40-CAM66063.jpg,2018:01:19 07:31:40
66,C1017_2018-01-19_07-35-13-CAM66063.jpg,D:/R_projects/multiseason_occupancy/leopard/C1017_2018-01-19_07-35-13-CAM66063.jpg,2018:01:19 07:35:13
67,C1017_2021-01-07 12-55-38_I_00091a.JPG,D:/R_projects/multiseason_occupancy/leopard/C1017_2021-01-07 12-55-38_I_00091a.JPG,2021:01:07 12:55:38
68,C1018_2018-02-08_23-19-24-CAM67541.jpg,D:/R_projects/multiseason_occupancy/leopard/C1018_2018-02-08_23-19-24-CAM67541.jpg,2018:02:08 23:19:24
69,C1019_2018-02-07_16-20-42-CAM69073.jpg,D:/R_projects/multiseason_occupancy/leopard/C1019_2018-02-07_16-20-42-CAM69073.jpg,2018:02:07 16:20:42
70,C1019_2021-01-10 15-49-22_I_00006a.JPG,D:/R_projects/multiseason_occupancy/leopard/C1019_2021-01-10 15-49-22_I_00006a.JPG,2021:01:10 15:49:22
71,C1019_2021-01-15 00-40-42_I__00049.JPG,D:/R_projects/multiseason_occupancy/leopard/C1019_2021-01-15 00-40-42_I__00049.JPG,2021:01:15 00:40:42
72,C1019_2021-01-15 01-43-38_I__00050.JPG,D:/R_projects/multiseason_occupancy/leopard/C1019_2021-01-15 01-43-38_I__00050.JPG,2021:01:15 01:43:39
73,C1020_2018-01-19_11-01-02-CAM66061.jpg,D:/R_projects/multiseason_occupancy/leopard/C1020_2018-01-19_11-01-02-CAM66061.jpg,2018:01:19 11:01:02
74,C1020_2018-01-19_11-01-04-CAM66061.jpg,D:/R_projects/multiseason_occupancy/leopard/C1020_2018-01-19_11-01-04-CAM66061.jpg,2018:01:19 11:01:04
75,C1020_2018-01-25_19-59-06-CAM60272.jpg,D:/R_projects/multiseason_occupancy/leopard/C1020_2018-01-25_19-59-06-CAM60272.jpg,2018:01:25 19:59:06
